2 letter words ALL

ba
be
bo
bu
bø
da
de
di
dy
då
fa
fæ
få
gi
go
ha
he
hi
ho
hæ
ja
ja
jo
ka
la
la
lo
ly
lå
my
mø
må
na
ne
nu
ny
næ
nå
pi
pu
py
pø
på
ra
re
ri
ru
ry
rå
sa
su
ta
ty
va
vi
vi

